Time,Susceptible,Asymptomatic,Symptomatic,Recovered,Deaths
0,300000,0,0,0,0
1,254761,27182,18057,0,0
2,245023,32972,22005,0,0
3,233354,40031,26615,0,0
4,220072,47925,32003,0,0
5,205173,56954,37873,0,0
6,188704,66725,44571,0,0
7,170762,77544,51694,0,0
8,151941,88852,59207,0,0
9,132434,100658,66908,0,0
10,113646,111891,74463,0,0
11,95657,122666,63620,17799,258
12,80389,131767,65839,21681,324
13,66928,139838,66619,26214,401
14,55075,146979,65943,31519,484
15,45124,125797,64024,64492,563
16,37836,124366,60255,76877,666
17,31979,120819,55477,90950,775
18,27100,115850,49918,106248,884
19,23323,109121,43694,122878,984
20,20268,101203,37341,140093,1095
21,17914,91775,31090,158021,1200
22,16068,81607,25629,175421,1275
23,14628,70675,20805,192525,1367
24,13539,60079,16545,208408,1429
25,12649,49831,12957,223067,1496
26,11993,41133,10281,235068,1525
27,11451,33373,8167,245454,1555
28,11069,26459,6368,254522,1582
29,10759,20649,5011,261980,1601
30,10515,16432,3911,267520,1622
31,10308,13031,3044,271983,1634
32,10173,10187,2392,275600,1648
33,10057,7945,1884,278458,1656
34,9968,6140,1473,280759,1660
35,9891,4786,1150,282508,1665
36,9845,3675,914,283894,1672
37,9793,2828,708,284997,1674
38,9763,2204,570,285786,1677
39,9728,1699,463,286431,1679
40,9705,1306,374,286932,1683
41,9687,1006,285,287339,1683
42,9676,786,235,287616,1687
43,9669,601,179,287863,1688
44,9666,462,138,288045,1689
45,9662,353,100,288196,1689
46,9659,274,84,288294,1689
47,9658,216,60,288375,1691
48,9655,169,45,288439,1692
49,9652,134,33,288489,1692
50,9651,105,21,288531,1692
51,9650,79,14,288565,1692
52,9649,66,11,288582,1692
53,9648,45,9,288606,1692
54,9647,36,9,288616,1692
55,9647,25,7,288629,1692
56,9647,18,6,288637,1692
57,9647,13,5,288643,1692
58,9647,10,3,288648,1692
59,9646,9,2,288651,1692
60,9646,7,1,288654,1692
61,9646,7,1,288654,1692
62,9646,6,0,288656,1692
63,9645,5,0,288658,1692
64,9644,6,0,288658,1692
65,9644,5,0,288659,1692
66,9644,5,0,288659,1692
67,9644,4,0,288660,1692
68,9644,3,0,288661,1692
69,9644,3,0,288661,1692
70,9644,3,0,288661,1692