time,,Susceptible,Asymptomatic_Inf,Symptomatic_Inf,Total_Infected,Recovered,Dead
0,,80000,0,0,0,0,0
1,,77595,1420,985,2405,0,0
2,,77280,1597,1123,2720,0,0
3,,76667,1951,1382,3333,0,0
4,,75970,2380,1650,4030,0,0
5,,75099,2911,1989,4900,1,0
6,,74032,3586,2363,5949,19,0
7,,72718,4388,2837,7225,57,0
8,,71218,5270,3368,8638,142,2
9,,69442,6317,3940,10257,297,4
10,,67322,7557,4571,12128,545,5
11,,64890,8908,5351,14259,841,10
12,,62150,10416,6202,16618,1214,18
13,,59029,12088,7154,19242,1709,20
14,,55703,13887,8128,22015,2259,23
15,,52078,15792,9151,24943,2951,28
16,,48117,17829,10283,28112,3739,32
17,,44125,19816,11336,31152,4685,38
18,,39935,21791,12491,34282,5732,51
19,,35821,23594,13441,37035,7087,57
20,,31696,25453,14279,39732,8500,72
21,,27832,27011,14941,41952,10131,85
22,,24136,28283,15379,43662,12097,105
23,,20805,29184,15599,44783,14288,124
24,,17829,29834,15580,45414,16617,140
25,,15262,30072,15326,45398,19185,155
26,,13065,29871,14802,44673,22084,178
27,,11132,29223,14179,43402,25268,198
28,,9559,28370,13366,41736,28485,220
29,,8276,27326,12327,39653,31836,235
30,,7218,25865,11236,37101,35421,260
31,,6316,24263,10132,34395,39004,285
32,,5572,22449,9073,31522,42610,296
33,,5004,20624,7966,28590,46092,314
34,,4531,18632,6921,25553,49589,327
35,,4168,16697,5946,22643,52853,336
36,,3831,14826,5071,19897,55923,349
37,,3592,13087,4306,17393,58656,359
38,,3362,11417,3638,15055,61212,371
39,,3173,9875,3065,12940,63503,384
40,,3055,8408,2536,10944,65610,391
41,,2953,7217,2118,9335,67315,397
42,,2864,6094,1730,7824,68909,403
43,,2792,5102,1430,6532,70271,405
44,,2736,4263,1174,5437,71418,409
45,,2692,3547,972,4519,72377,412
46,,2651,2966,801,3767,73167,415
47,,2611,2439,656,3095,73877,417
48,,2581,2025,541,2566,74434,419
49,,2559,1670,461,2131,74889,421
50,,2543,1396,384,1780,75255,422
51,,2530,1152,309,1461,75586,423
52,,2513,936,249,1185,75879,423
53,,2504,768,206,974,76098,424
54,,2493,616,170,786,76296,425
55,,2489,487,139,626,76459,426
56,,2476,406,113,519,76578,427
57,,2474,326,92,418,76681,427
58,,2467,263,75,338,76767,428
59,,2464,220,61,281,76827,428
60,,2462,184,49,233,76877,428